Country,Income_group,Year,Area,Age,Males_Overweight,Males_Obesity,Females_Overweight,Females_Obesity,All_Adults_Overweight,All_Adults_Obesity
Libya,Upper-middle income,2023,National,18-69,30.00,22.00,25.70,36.30,27.90,28.90
Lithuania,High income,2022,National,16+,43.1,19.8,34.2,20.7,38.2,20.3
Luxembourg,High income,2022,National,18+,40.9,19.0,23.6,14.7,32.7,17.0
Madagascar,Low income,2021,National,15-49,,,11.2,2.7,,
Madeira,,2020,National,18+,42.20,14.80,34.70,18.60,38.20,16.80
Malawi,Low income,2024,National,20-49,,,19.9,8.2,,
Malawi,Low income,2016,National,18+,11.0,2.0,22.0,13.0,16.6,7.6
Malaysia,Upper-middle income,2024,National,18+,33.9,19.3,26.7,27.5,30.5,23.1
Maldives,Upper-middle income,2021,National,15-69,32.40,14.10,36.50,22.80,34.30,18.10
Mali,Low income,2024,National,20-49,,,21.40,12.90,,
Malta,High income,2022,National,18+,41.0,29.0,31.2,23.0,36.3,26.1
Marshall Islands,Upper-middle income,2023,National,18+,,,,,29.5,43.4
Marshall Islands,Upper-middle income,2017,National,15-49,,,27.60,45.10,,
Marshall Islands,Upper-middle income,2002,National,15-64,33.2,26.6,28.3,37.1,30.9,31.6
Martinique,,2019,National,15+,36.0,13.0,32.0,25.0,34.0,20.0
Mauritania,Lower-middle income,2006,National,15-64,23.2,8.6,27.9,31.5,25.7,20.9
Mauritania,Lower-middle income,2021,National,15-64,,,26.90,26.90,,
Mauritius,Upper-middle income,2015,National,18+,38.3,11.1,32.6,25.8,35.2,19.1
Mayotte,,2019,National,15+,30.0,16.0,26.0,34.0,28.0,26.0
Mexico,Upper-middle income,2023,National,20+,40.1,36.1,34.6,41.6,37.3,38.9
Moldova,Upper-middle income,2021,National,18-69,49.4,21.4,33.0,24.0,41.2,22.7
Mongolia,Upper-middle income,2023,National,15-49,40.4,17.0,35.0,18.0,37.7,17.5
Montenegro,Upper-middle income,2022,National,16+,50.7,9.3,28.6,6.0,39.4,7.6
Morocco,Lower-middle income,2018,National,18+,31.60,11.00,34.40,29.00,33.00,20.00
Mozambique,Low income,2024,National,18-69,12.7,5.0,23.3,14.9,19.3,11.2
Myanmar,Lower-middle income,2018,National,15-49,11.40,2.00,22.90,7.30,17.20,4.70
Namibia,Lower-middle income,2013,National,15-49,8.1,3.4,18.3,13.2,13.3,8.4
Nauru,High income,2023,National,15-49,,,16.1,60.6,,
Nauru,High income,2016,National,15-49,20.40,71.00,19.30,69.40,19.80,70.20
Nepal,Lower-middle income,2022,National,20-49,26.2,5.9,26.0,8.4,26.1,7.2
Netherlands,High income,2025,National,18+,37.7,15.0,29.5,14.9,33.7,15.0
New Caledonia,High income,2021,National,18-64,33.0,34.0,23.0,42.0,28.1,38.4
New Zealand,High income,2025,National,15+,37.90,32.5,28.60,35.80,33.20,34.20
Nicaragua,Lower-middle income,2009,Regional,20-60,30.90,11.90,34.70,29.80,33.10,22.00
Niger,Low income,2021,National,18-69,7.7,3.9,12.5,6.3,9.8,4.9
Nigeria,Lower-middle income,2024,National,20-49,,,18.80,11.20,,
Nigeria,Lower-middle income,1994,,20+,,6.50,,9.10,,7.80
Niue,,2025,National,15-69,24.5,65.5,14.7,76.5,19.7,70.9
North Macedonia,Upper-middle income,2017,National,18+,53.3,11.1,37.2,9.9,45.2,10.5
Northern Ireland,,2025,National,16+,43.80,29.30,29.20,31.30,36.30,30.30
Northern Mariana Islands,High income,2023,National,18+,,,,,31.0,41.0
Norway,High income,2025,National,18+,43.6,18.5,30.5,15.4,37.2,17.0
Oman,High income,2025,National,18+,40.4,22.3,31.2,37.3,37.3,27.3
Pakistan,Lower-middle income,2018,National,15-49,,,24.2,13.9,,
Pakistan,Lower-middle income,2014,National,18-69,26.50,12.10,26.10,17.10,26.40,14.90
Palau,High income,2023,National,18+,,,,,33.2,42.4
Palau,High income,2023,National,25-64,35.10,40.30,30.60,45.40,32.90,42.90
Palestine,Lower-middle income,2022,National,18-69,31.4,24.7,28.1,38.8,29.8,31.6
Panama,High income,2019,National,18+,39.6,27.7,33.3,42.3,36.4,36.3
Papua New Guinea,Lower-middle income,2008,National,15-64,25.20,5.10,25.20,8.70,25.30,6.80
Paraguay,Upper-middle income,2022,National,18-69,41.1,27.5,32.6,37.5,36.9,32.4
Peru,Upper-middle income,2024,National,15+,37.4,21.1,35.7,29.9,36.5,25.7
Philippines,Lower-middle income,2022,National,20-59,28.30,7.30,31.70,12.20,30.20,10.0
Poland,High income,2025,National,20+,48.8,15.3,35.7,12.6,41.9,13.9
Portugal,High income,2025,National,18+,44.2,16.8,32.8,17.2,38.2,17.0
Puerto Rico,High income,2024,National,18+,37.7,36.9,35.0,35.5,36.3,36.2
Qatar,High income,2024,National,18-69,41.90,30.40,32.30,36.70,37.30,33.40
Reunion,,2019,National,15+,30.0,12.0,27.0,20.0,28.0,16.0
Romania,High income,2025,National,18+,57.5,13.9,42.0,12.1,49.4,12.9
Russian Federation,High income,2022,National,35-74,44.00,30.00,33.70,39.50,38.40,35.20
Rwanda,Low income,2022,National,18-69,10.20,1.30,18.60,7.40,14.30,4.30
Saint Kitts and Nevis,High income,2008,National,25-64,36.20,37.90,30.50,52.50,33.50,45.00
Saint Lucia,Upper-middle income,2020,National,18-69,29.40,20.60,30.70,46.10,30.10,34.90
Saint Vincent and the Grenadines,Upper-middle income,2014,National,18-69,28.10,13.20,26.40,40.80,27.30,26.90
Samoa,Upper-middle income,2013,National,18-64,35.0,44.8,21.8,68.6,28.9,55.8
Samoa,Upper-middle income,2013,National,15-49,,,18.50,66.90,,
Sao Tome and Principe,Lower-middle income,2008,National,25-64,21.4,6.6,25.1,16.5,23.3,11.7
Saudi Arabia,High income,2024,National,15+,46.3,22.8,42.6,23.5,45.1,23.1
Scotland,Lower-middle income,2024,National,16+,41.0,27.0,28.0,35.0,34.0,31.0
Senegal,Lower-middle income,2015,National,18-69,,,,,15.8,6.4
Senegal,Lower-middle income,2011,National,15-49,6.10,1.00,15.50,5.80,10.90,3.50
Serbia,Upper-middle income,2022,National,18+,50.7,13.9,31.6,9.5,40.9,11.7
Seychelles,High income,2023,National,18-74,32.6,27.2,28.9,48.6,31.0,38.0
Sierra Leone,Low income,2021,National,15-49,,,27.8,13.1,,
Sierra Leone,Low income,2013,National,15-49,6.7,1.5,13.4,5.0,10.1,3.3
Singapore,High income,2024,National,18-74,33.90,13.10,21.10,12.30,27.40,12.70
Slovakia,High income,2022,National,18+,51.3,19.4,32.0,15.0,41.3,17.1
Slovenia,High income,2025,National,18+,45.0,21.0,31.3,16.2,38.2,18.6
Solomon Islands,Lower-middle income,2015,National,15-49,25.5,8.8,29.5,17.9,27.5,13.1
Somalia,Low income,2019,National,15-49,,,24.4,15.1,,
South Korea,High income,2022,National,20+,40.5,8.63,23.5,5.71,32.3,7.28
Spain,High income,2025,National,18+,43.2,15.5,29.6,14.4,36.3,14.9
Sri Lanka,Lower-middle income,2022,National,18-60,25.6,6.4,29.6,12.6,27.7,9.6
Sudan,Low income,2016,National,18-69,15.9,6.7,20.7,14.9,17.9,10.3
Suriname,Upper-middle income,2017,National,20+,38.50,17.00,33.30,27.00,,
Sweden,High income,2025,National,18+,42.0,17.6,31.1,17.3,36.7,17.5
Switzerland,High income,2022,National,16+,39.8,14.7,24.0,12.1,31.8,13.4
Syrian Arab Republic,Low income,2003,National,20-65,37.3,15.5,31.1,22.5,34.2,18.9
Tajikistan,Lower-middle income,2023,National,20-49,,,30.7,18.7,,
Tajikistan,Lower-middle income,2017,National,18-69,37.80,11.90,27.80,15.40,33.20,
Tanzania,Lower-middle income,2022,National,20-49,13.3,3.4,21.8,14.0,17.6,8.7
Thailand,Upper-middle income,2025,National,15+,29.30,12.80,29.60,18.10,29.50,15.60
Timor-Leste,Lower-middle income,2016,National,15-49,8.3,1.5,5.3,0.7,6.8,1.1
Togo,Low income,2022,National,18-69,14.70,5.30,23.30,18.10,19.10,11.70
Tokelau,,2005,National,15-64,24.3,58.6,21.5,67.8,22.8,63.4
Tonga,Upper-middle income,2017,National,18-69,22.8,66.8,12.3,82.8,16.1,77.1
Trinidad and Tobago,High income,2024,National,18-69,29.3,24.9,28.4,39.3,28.9,31.6
Tunisia,Lower-middle income,1997,National,20-60,23.3,6.7,28.2,22.7,,
Turkey,Upper-middle income,2025,National,18+,44.0,18.6,32.9,24.1,38.4,21.4
Turkmenistan,Upper-middle income,2018,National,18-69,38.4,12.7,27.9,17.5,33.4,15.0
Tuvalu,Upper-middle income,2015,National,18-69,27.0,70.7,18.5,55.2,23.2,62.2
Uganda,Low income,2023,National,18-69,10.7,6.2,18.4,12.3,14.6,9.3
Ukraine,Upper-middle income,2019,National,18-69,37.8,20.1,30.4,29.8,34.3,24.8
United Arab Emirates,High income,2018,National,18-69,45.70,25.10,34.30,30.60,40.10,27.80
United Kingdom,High income,2014,National,18+,40.5,19.8,31.4,20.4,35.6,20.1
United States,High income,2023,National,20+,36.20,38.40,28.60,41.30,32.10,40.30
Uruguay,High income,2014,National,15-64,38.60,22.10,31.30,25.10,34.80,23.70
Uzbekistan,Lower-middle income,2019,National,18-69,34.0,21.5,31.8,25.5,32.9,23.5
Vanuatu,Lower-middle income,2023,National,15-49,,,30.6,23.5,,
Vanuatu,Lower-middle income,2013,National,15-49,24.8,11.1,30.8,18.8,27.8,14.9
Venezuela,,2017,National,20+,38.20,22.20,31.20,26.70,34.50,24.60
Vietnam,Lower-middle income,2021,National,18-69,17.2,2.1,17.5,2.2,17.4,2.1
Wales,,2025,National,16+,43.90,24.20,31.00,25.10,37.30,24.70
Wallis and Futuna,,2019,National,18-69,23.8,66.7,16.6,73.7,20.0,70.4
Yemen,Low income,2013,National,15-49,,,15.7,8.0,,
Zambia,Lower-middle income,2024,National,20-49,,,22.4,10.7,,
Zambia,Lower-middle income,2017,National,18-69,13.2,3.0,20.2,12.3,16.7,7.5
Zimbabwe,Lower-middle income,2015,National,15-49,9.7,2.3,22.3,12.6,16.3,7.7
