,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Belize,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa Rica,Cote d'Ivoire,Croatia,Cyprus,Czechia,DR Congo,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kyrgyzstan,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,Rwanda,Saint Lucia,Samoa,Sao Tome and Principe,Senegal,Serbia,Seychelles,Sierra Leone,Slovakia,Slovenia,Solomon Islands,South Africa,South Korea,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Trinidad and Tobago,Tunisia,Turkiye,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Yemen,Zambia,Zimbabwe
GDP_PPP,0.9753184994966366,0.9354354393392156,0.9554026809813925,0.977868847720532,0.9615793298517118,0.9518474272837044,0.954143863256879,0.9414372281218538,0.9821839037410419,0.7512875678082334,0.9613723502551461,0.9121263367623953,0.9711144996218585,0.9776478108893294,0.9662824322225091,0.9762076396196704,0.9677972352552344,0.8827287022301603,0.9985915270992752,0.8886391965259873,0.9849723257311752,0.9339342644677853,0.9055751095861888,0.9079764219088569,0.9242392925470555,0.98582879076117,0.9971627511989138,0.9620764763779928,0.9898223265548421,0.8877017612038819,0.9554536079177888,0.8944071264023754,0.9537373202015721,0.8106246568387933,0.9844892996216592,0.8074947899249224,0.9121393107366252,0.9876855406300956,0.9544676624463879,0.9819147818290073,0.9209957861688666,0.9511202714835045,0.8220632196396885,0.9886713091721259,0.9846877684186927,0.9637878104335591,0.9916238230348293,0.3964706644953042,0.7555179770515701,0.9117660435158871,0.9354939089015555,0.7807924066485443,0.9663863910294617,0.9076734153176289,0.9665579743423,0.9529326326194689,0.9430220706663673,0.6860027041667511,0.9513801561714744,0.9874895100722965,0.9540238774346228,0.9078865239091669,0.9872211725513079,0.9894926878366752,0.8509456349495076,0.8513309076281209,0.845557796029492,0.7654334689022646,0.5403499432100581,0.9678708938228044,0.9892240092967852,0.9468166890425709,0.9829960511510186,0.9319238591784755,0.8078614640033239,0.970897878485332,0.9947478525598186,0.8673439877627904,0.8782718119185109,0.9638281098662107,0.9199126188442355,0.7409116530678581,0.8993668598330881,0.9338057861778235,0.9477596012457739,0.9853708534551426,0.9625932595638789,0.9937046048227348,0.7805175322414261,0.9209582322105494,0.969550392942338,0.9775509729337376,0.5691966538211959,0.982467412506445,0.933555306126493,0.9862711493787548,0.9902555717516074,0.9837821116747486,0.9696940965992219,0.9928353977841423,0.8800578520133722,0.9540017828904593,0.9528439375542654,0.9792984148090184,0.9579016448372031,0.9248905386663958,0.9926845549778551,0.9650002088768774,0.9135756112494241,0.9777767765832271,0.9904808602480148,0.9863954052783152,0.8571066543108854,0.7689421635192439,0.9653756163541294,0.4688954609500522,0.9902682576441592,0.9068516629876568,0.9750097735893234,0.9343320581947737,0.973065386406734,0.955823843751868,0.9670377095249839,0.929176101084288,0.9863966485040015,0.9611223210979031,0.9009450321043891,0.9789439044769873,0.9865283738289783,0.10207326964140426,0.9830194774626173,0.9725521475595539,0.9546346576734497,0.952880010249644,0.9263114734661754,0.8943909194963584,0.9810658237371044,0.9956189415336621,0.936615455829262,0.945383514070241,0.9346471764247081,0.9892671218384628,0.7218871271249261,0.9675100367209957,0.7917816531032396,-0.38975798512269116,0.9315723729161753,0.9318717425108002,0.9753512048328519,0.9850849956045674,0.9817578099559024,0.7833987827880361,0.9966790719358378,0.9169122965705595,0.9604627366473989,0.5995421517365221
Health_Expenditure,0.9558736472734392,0.6881089529531152,0.3878382864739746,0.7725293300569122,0.9777145872562432,0.953622080538996,0.9471860413554444,0.8918353497052156,0.9925151686183431,0.7566418521217849,0.9335819875572223,0.9523273777591401,0.938650714071601,0.9827017802720708,0.9566303033036473,0.9249748729908405,0.7153859173674504,0.9287238553595967,0.9585528825293279,0.8636262205234018,0.9686338951337838,0.9384553104804507,0.9522785973366654,0.9139057083235939,0.7318661007014657,0.9847152690855827,0.9958359599430743,0.8876151400630525,0.8049849868829458,0.7979596123991862,0.9754682287416919,0.8889429213508223,0.7781141713288042,0.7949170033028702,0.9340070660984638,0.8705341274885632,0.8983173030579015,0.9194336911053641,0.9652337098503226,0.9649232530386873,0.8848028338427606,0.9637750583767023,0.7416550156696264,0.689454252198304,0.9665826323201853,0.9103389853208649,0.8500167943623506,0.0709110216610513,0.5322254330432011,-0.6307478924779347,0.9539754099216106,0.8488529760433317,0.7615130316531888,0.2166675562880802,0.9735028810864479,0.8836879700673227,0.9639314120805398,0.9647192246874681,0.6954893756526214,0.9473463688768684,0.8488359995069559,0.8135835246222745,0.9767153202659905,0.9246451031676453,0.44898134545481155,0.9604245057545202,0.9206706923863314,0.7053329514099844,0.5618320291138097,0.9302818331702728,0.7059070487189512,0.8970245836636394,0.8546236682008788,0.9718227931226768,0.8565028227190554,0.7308337373498304,0.7752407007921228,0.8392919317555697,0.17787096825129398,0.8013718395153903,0.9628553193698282,0.5874319278362917,0.8528128068699307,0.27361467627005354,0.866856986113074,0.9629737917677521,0.9180878081578776,0.6879719616352983,0.8122553792433196,0.9145437662319381,0.9568351279611457,0.7789969729694102,0.6546633584880805,0.9111266537489485,0.9133702567851552,0.9229928574355297,0.9275644958738578,0.9161185137114212,0.4655514172619962,0.9849627178710312,0.9520810205367943,0.9856054012564178,0.8612140475865521,0.6708326396880301,0.9357849421361162,0.8715776267252973,0.8962759273285507,0.9869703549016331,0.8419824181966282,0.9529071073062167,0.9774884233358564,0.9768327176640916,0.8050030142067647,0.704106696773959,0.9416584643420649,0.19705314880914926,0.728914899309336,0.9616068232419742,0.9584718788693681,0.8876806239583747,0.9290956081122161,0.8787538331589306,0.9154678730867031,0.37775841548913414,0.8902618331552979,0.9302254404344062,0.7847321833095765,0.8147107190947368,0.9825617425642764,-0.20509254351334824,0.9019729025239359,0.6377418851495676,0.8908694851996998,0.9828289414879456,-0.46233823127236784,0.9471020661627948,0.6661693334304165,0.9851069817896047,0.9139853783775134,0.9737578873904488,0.9780691572997268,0.8412041450319184,0.771373397304709,0.5511926063009635,0.8430557482233604,0.8689690641389085,0.9163191144832141,0.9438275462331227,0.9327890897121963,0.8860840573031912,0.898705392610896,-0.6328850947083894,0.9702973755628801,0.612394123130893,0.8104889532832216,-0.6159063375967092
Gini,0.3571566306950608,-0.9996871107087397,0.01281218961768652,-0.5099777609742798,-0.6895434438037372,0.7895258772955374,0.4095110573002471,-0.7109852447065285,0.4176290780962068,-0.3381734731804083,0.026749194757903366,-0.9665466122234659,-0.2865852125886851,-0.7254181894155922,-0.1780454832894652,-0.0993333759526432,-0.8409322907503629,0.9054272314931142,-0.7434044905176374,0.14041264982309454,-0.9977269213677022,0.0080732680012513,0.26762442746239995,-0.9701350633499755,-0.5824961310393336,-0.9587236855008281,0.4214569993503702,-0.19157179098142083,-0.9943501706632705,1.0,0.4289776599753191,-0.31410452167804426,0.30186649893173717,0.5568445637188673,-0.03518759581621048,0.9493497727776453,0.7380495150941011,0.4572293017682937,-0.811787759330506,-0.786287052671918,-0.22730087624234918,-0.9152649318467522,-0.6167057857427992,-0.5568577964885197,-0.3420628142154446,-0.8351521970230785,0.6818691967296407,0.02802349873522347,-0.9999999999999999,-0.8924320146675776,-0.7345060023873271,0.7838188569800948,0.9357196572037738,-0.2963117865060145,-0.8124881902398245,-0.9876546329232213,-0.6408418418533011,1.0,-1.0,-0.68491433321628,0.45822594287505547,-0.4837279290144041,-0.2736704835617431,0.6789390393520306,-0.8443763059627618,0.9399857971366354,-0.8530438660287529,0.4890184761021122,0.5018724655401866,-0.23086154260085798,-0.23643989409714905,-0.6397922027847406,-0.6805915337020394,-0.7978266742442205,-0.9986195865809012,-0.5954243719460484,0.4387099234564871,0.4782524506204537,0.9999999999999999,-0.8396076295434959,-0.5514663737858306,0.7343364728713345,0.8466848884413919,-0.5691469910389435,-0.6935446049000288,-0.9136890343204215,-0.9924334469753486,-0.7388161430990073,0.27684288081752606,-0.8364058482217475,0.4254995305164229,-0.7545924634968962,-0.8164186180795187,-0.12242083978993629,0.6363190517314381,0.6176412955222012,0.07642108624387187,-1.0,-0.9864056854282239,-0.3326494678539664,-0.2938237087866108,-0.9361063674103852,-0.5005182019383472,-0.7290893641850036,-0.12704380440400065,0.2793008577380383,-0.03744490719706297,-0.9572136240642701,-1.0,-0.6657717019303432,-0.8059947018790654,-0.22344355872168334,0.2661584513783844,-0.706300328201665,0.5819809013060764,-0.1131960527921426,-0.928537417117751,1.0,-0.5425140365698525,0.7267467218458274,-0.6701262400319437,0.27961763197040107,-0.5231645759719975,-0.7530090450483516,-0.17788470852684124,-0.3133931252244837,-1.0,-0.1825663226089776,0.47323904472709977,0.04127793750455773,0.6172172729986307,-1.0,0.9282600933933027,-0.258502357817309,-0.5029367108288825,0.7608253654985905,0.8149445698963841,-0.9632678484852141,-0.6688395070403961,-0.6602311510540663,-1.0,-0.9141539646192453,0.1741004381040187,0.03641056831775201,-0.7891402638700492,-1.0,0.3330070657594672,0.8877753049525562,-0.4913358893662049,-0.5464661185596524,-1.0,-0.38484266520371885,-0.06074130422298239,0.8620696887972542,0.06381648664874057,0.8051136117713348
Calories,0.9445297921123745,0.9891829035824897,0.8542204045517859,0.580441568404184,0.8841793334700924,0.8747254176734174,0.9765914728417644,0.9577709584472394,0.9396266554808745,0.7708903995577918,0.7544678423077663,0.973219082281665,0.9814604805947617,0.9803963208054481,0.9973406725178169,0.8800735585409558,0.9608976954539646,-0.7466351803416916,0.8488774597073062,1.0,0.9612556884361559,0.9213272475887171,0.9766475565646725,0.7862269186261082,0.9477586596962903,0.9626335393256633,0.9301310090735754,0.9727930438391662,1.0,0.5340959200774519,0.9778667045531729,0.18490788438464642,0.9984077736889624,0.9696838265603188,0.9772640988053927,-1.0,0.9196544818314776,0.9922312630174046,0.9101420247415778,0.9404307937794403,0.9285637876689287,0.9847719077103948,0.9977946818625167,0.41550562883108094,0.9938503522323434,0.9134986240239297,0.9691976692925736,0.48720562647231297,0.9003362757210016,0.820841893649627,0.8765098757728506,0.9256769774425152,0.9728122228684435,-0.005331269556508924,0.8547749380208386,0.9729321391948929,0.799338089555322,0.9267311181493877,0.74262342995059,0.9727753173912917,-0.14627381757212563,0.8140198688044533,0.9070364436390562,0.9725526741765289,0.6680246724086913,-0.6768673024298701,0.6951040327177557,0.9439847732994897,0.651954034317876,0.9737762594502075,-0.5651100005810037,0.4261403862865991,0.9719539935632413,0.07474414871521719,0.8217116123048582,0.8114019469577666,0.984637593347463,0.9988291627386658,0.9222648125446721,0.010732859807842715,-0.5685218380525948,0.9953684689040118,0.7428112409588667,-0.4713847865559956,0.8555492664935832,0.5247662186357571,0.9566642396878084,0.9094548795014622,0.8789061412355377,0.8997903636302937,0.9869623753808549,0.8985927934012344,0.8280923442975201,0.9128606286799247,1.0,0.929621668310089,0.7598953477430445,0.9781435382063509,0.7047021596137303,0.9460664658192296,0.79128552398858,0.9512509773122411,0.9881632259498387,0.7907867475979528,0.9890638769878669,0.9258739562815503,0.966638006067215,0.970048985046616,0.9999999999999999,0.9651106604822363,0.9905383977322865,0.9850026930819447,0.6039386342542817,0.7679691346428932,0.9603877357345854,0.741404219465616,0.5855955673659713,0.8476530564664035,0.9796314156225711,0.9450739890076001,0.9519350243794648,1.0,1.0,0.8294521866369583,0.8916108982964798,0.7467947271308423,0.8016079343393445,0.46818141525308954,0.9664693906042133,0.4294264779069563,0.9696885089837337,0.9241624601744364,0.9903013549768388,0.6556400386393251,-0.9999999999999999,0.9971108822042084,0.8529226494479256,0.9292203220428709,0.9095681391697645,0.9960960987512053,0.6960267595691276,0.9599342197624331,0.8548150599608692,0.5954470062897093,0.3298718403120905,0.21231624097010532,0.8863766750019335,0.9345090902935519,0.9446785357534819,0.9938006743861358,0.9437465014237514,0.11556896966700271,0.8945525320486986,0.8471266800158275,0.06121760165405548,0.3220918718269001
Sedentary,0.9846284271858872,0.9928499630361295,-0.9858315576392921,0.9986087693702806,0.9930960943274603,-0.964984059107635,-0.988811136665649,0.9246524717280381,-0.9341674805234327,-0.784744341991263,-0.9955454260642086,0.9992224871187831,0.9485890874054506,0.31969266754982745,0.9832051651062915,-0.9971711673391848,0.9993186097719674,0.9849853321852264,0.9247170974104235,-0.9310260810864782,0.9996759860122745,-0.9890220174807877,0.9588609599332127,-0.9548833260242341,-0.9871886615661651,0.9997223946725685,0.9988045890713567,0.9998265975487134,0.9976196956486794,-0.9897944605194825,0.99985647629267,-0.984294198507637,0.9958845056380726,-0.6591133274080265,-0.6927771420551301,-0.973365281330736,-0.9827505198593871,-0.9453681777174078,0.9997669276721556,0.8032288944225308,0.9935236775936754,0.9989424881666826,0.8800892103992846,-0.9936767703851677,-0.9616088031903646,-0.9756685323379005,-0.9861998969996041,0.231928228256445,-0.9901180871136076,-0.9603458568113518,0.9993019072959886,-0.7958992575046447,0.9988389381563779,0.9911909375461729,0.9974124451271184,-0.9657595414323437,-0.9787922826754598,0.9994048306664121,0.9987076160107106,0.9996949175133203,0.994734112117187,-0.9893115771039379,0.9950070052933547,0.9998014833311794,0.9984441504524965,0.9978131898286527,-0.9851148168873866,-0.8359054088181513,-0.18001749256414507,0.9996600563673551,0.9986474612055554,0.9662596637554451,0.9973697174414944,-0.9904499919345677,-0.994829124709887,0.9960114924021479,-0.716631832522784,-0.9699758027578717,0.9944551264050404,-0.9726985642979844,-0.9664822547707415,-0.8447077914907495,-0.9140924326638378,-0.8982993791862642,-0.9555164627813594,-0.946195498198319,-0.7422788271815453,-0.9914453419334252,-0.8493637843318023,-0.9963828050781284,0.9976949243315882,0.9996795388197135,-0.8036177480270762,0.997703659879794,0.9519471386772982,0.9841364559134866,0.9617974187031364,0.8473945716892938,-0.9972055331131692,-0.9547073903806578,-0.9407750419256421,0.9992273163566877,-0.9880769355505901,-0.9829017707440258,0.976332070074405,0.9983202274245706,0.9964570663687131,0.9997934391475662,-0.9703103790597027,0.9999629858894054,0.999709802988073,0.9994571179812477,0.9260693197888191,0.7957219957021423,0.9978663313355598,0.1743284698242157,-0.9499265268044023,-0.9977877066684201,-0.9985882812807946,0.5708910556775441,-0.9831547216774402,-0.9964988548798895,-0.984856533440144,-0.9828131973046027,-0.9884798651867708,-0.7179890713331752,-0.9932477216839521,-0.9161770862286117,0.9874364213459802,0.6783678123690683,0.997758647566773,0.9999408445898842,-0.9921715955437218,-0.9865695195626407,0.9905995827738926,0.9996932740280919,-0.9732208124668339,0.9964271933837358,0.9890587719249841,0.9726415744490615,0.9997702463636043,0.9935854962991768,0.9207299084851767,-0.9426976981027554,0.9273681717095694,0.9303347400887544,-0.97046721932319,0.9974031135762352,0.9976084688148363,0.9985403496269448,-0.962984198143469,0.9350069193688494,0.9842742111656757,0.9975588966071379,-0.9707956478175774,-0.9037718328417145
